Log della sequenza DWIN generato il: 20/10/2025 15:46:04
Totale messaggi: 65798
--- INIZIO SEQUENZA ---
Msg 00078: ID=500, Len=8, Data=[23 42 91 A1 B1 C1 09 23]
Msg 00079: ID=500, Len=8, Data=[2A 33 52 F0 15 62 72 D1]
Msg 00080: ID=500, Len=8, Data=[31 0A 16 24 34 E1 25 F1]
Msg 00081: ID=500, Len=8, Data=[38 17 18 19 1A 26 27 28]
Msg 00082: ID=500, Len=8, Data=[3F 29 2A 35 36 37 38 39]
Msg 00083: ID=500, Len=8, Data=[46 3A 43 44 45 46 47 48]
Msg 00084: ID=500, Len=8, Data=[4D 49 4A 53 54 55 56 57]
Msg 00085: ID=500, Len=8, Data=[54 58 59 5A 63 64 65 66]
Msg 00086: ID=500, Len=8, Data=[5B 67 68 69 6A 73 74 75]
Msg 00087: ID=500, Len=8, Data=[62 76 77 78 79 7A 82 83]
Msg 00088: ID=500, Len=8, Data=[69 84 85 86 87 88 89 8A]
Msg 00089: ID=500, Len=8, Data=[70 92 93 94 95 96 97 98]
Msg 00090: ID=500, Len=8, Data=[77 99 9A A2 A3 A4 A5 A6]
Msg 00091: ID=500, Len=8, Data=[7E A7 A8 A9 AA B2 B3 B4]
Msg 00092: ID=500, Len=8, Data=[85 B5 B6 B7 B8 B9 BA C2]
Msg 00093: ID=500, Len=8, Data=[8C C3 C4 C5 C6 C7 C8 C9]
Msg 00094: ID=500, Len=8, Data=[93 CA D2 D3 D4 D5 D6 D7]
Msg 00095: ID=500, Len=8, Data=[9A D8 D9 DA E2 E3 E4 E5]
Msg 00096: ID=500, Len=8, Data=[A1 E6 E7 E8 E9 EA F2 F3]
Msg 00097: ID=500, Len=8, Data=[A8 F4 F5 F6 F7 F8 F9 FA]
Msg 00098: ID=500, Len=8, Data=[AF FF DA 00 0F 03 01 00]
Msg 00099: ID=500, Len=8, Data=[B6 02 11 03 11 00 3F 00]
Msg 00100: ID=500, Len=8, Data=[BD 00 00 00 FB E2 8A 44]
Msg 00101: ID=500, Len=8, Data=[C4 FB 8B F4 A5 A0 02 8A]
Msg 00102: ID=500, Len=8, Data=[CB 28 A0 02 8A 28 A0 02]
Msg 00103: ID=500, Len=8, Data=[D2 8A 28 A0 02 8A 28 A0]
Msg 00104: ID=500, Len=8, Data=[D9 02 8A 28 A0 02 8A 28]
Msg 00105: ID=500, Len=8, Data=[E0 A0 02 8A 28 A0 02 8A]
Msg 00106: ID=500, Len=8, Data=[E7 28 A0 02 8A 28 A0 02]
Msg 00107: ID=500, Len=8, Data=[EE 8A 28 00 00 00 00 00]
Msg 00108: ID=500, Len=8, Data=[F1 F0 80 F0 00 00 00 00]
Msg 00109: ID=500, Len=8, Data=[00 A0 02 8A 28 A0 02 8A]
Msg 00110: ID=500, Len=8, Data=[07 28 A0 02 8A 28 A0 02]
Msg 00111: ID=500, Len=8, Data=[0E 8A 28 A0 02 8A 28 A0]
Msg 00112: ID=500, Len=8, Data=[15 02 8A 28 A0 02 8A 28]
Msg 00113: ID=500, Len=8, Data=[1C A0 02 8A 28 A0 02 8A]
Msg 00114: ID=500, Len=8, Data=[23 28 A0 02 8A 28 A0 02]
Msg 00115: ID=500, Len=8, Data=[2A 8A 28 A0 02 8A 28 A0]
Msg 00116: ID=500, Len=8, Data=[31 02 8A 28 A0 02 8A 28]
Msg 00117: ID=500, Len=8, Data=[38 A0 02 8A 28 A0 02 8A]
Msg 00118: ID=500, Len=8, Data=[3F 28 A0 02 8A 28 A0 02]
Msg 00119: ID=500, Len=8, Data=[46 8A 28 A0 02 8A 28 A0]
Msg 00120: ID=500, Len=8, Data=[4D 02 8A 28 A0 02 8A 28]
Msg 00121: ID=500, Len=8, Data=[54 A0 02 8A 28 A0 02 8A]
Msg 00122: ID=500, Len=8, Data=[5B 28 A0 02 98 61 8C 9E]
Msg 00123: ID=500, Len=8, Data=[62 63 53 F8 53 E8 A0 06]
Msg 00124: ID=500, Len=8, Data=[69 79 11 FF 00 CF 34 FF]
Msg 00125: ID=500, Len=8, Data=[70 00 BE 45 02 18 C1 C8]
Msg 00126: ID=500, Len=8, Data=[77 8D 41 FA 53 E8 A0 04]
Msg 00127: ID=500, Len=8, Data=[7E DA BE 83 F2 A3 62 FF]
Msg 00128: ID=500, Len=8, Data=[85 00 74 7E 54 A4 80 09]
Msg 00129: ID=500, Len=8, Data=[8C 27 00 56 7D CD E9 90]
Msg 00130: ID=500, Len=8, Data=[93 14 4E 17 B9 F5 A0 07]
Msg 00131: ID=500, Len=8, Data=[9A DD 5D 2A FC B1 6D 27]
Msg 00132: ID=500, Len=8, Data=[A1 BB 63 35 46 8A 28 00]
Msg 00133: ID=500, Len=8, Data=[A8 A2 8A 28 00 A7 C7 19]
Msg 00134: ID=500, Len=8, Data=[AF 91 B0 3A 77 34 91 84]
Msg 00135: ID=500, Len=8, Data=[B6 2D F3 96 0B 83 F7 46]
Msg 00136: ID=500, Len=8, Data=[BD 4E 71 C7 EB FE 4F 4A]
Msg 00137: ID=500, Len=8, Data=[C4 71 98 E3 0B 84 1E D4]
Msg 00138: ID=500, Len=8, Data=[CB 01 3B 79 51 0C 10 09]
Msg 00139: ID=500, Len=8, Data=[D2 FA 64 D5 77 93 7F 45]
Msg 00140: ID=500, Len=8, Data=[D9 55 1E C2 99 45 00 3D]
Msg 00141: ID=500, Len=8, Data=[E0 26 92 36 2C AE CA C7]
Msg 00142: ID=500, Len=8, Data=[E7 A9 07 04 D5 8B 6B 8B]
Msg 00143: ID=500, Len=8, Data=[EE 89 A6 00 00 00 00 00]
Msg 00144: ID=500, Len=8, Data=[F1 F0 81 68 00 00 00 00]
Msg 00145: ID=500, Len=8, Data=[00 55 33 CB 8E A7 E7 3D]
Msg 00146: ID=500, Len=8, Data=[07 2A A5 68 69 F1 6D 42]
Msg 00147: ID=500, Len=8, Data=[0E E7 F8 B8 1F 4A 00 BA]
Msg 00148: ID=500, Len=8, Data=[15 25 70 30 1D 80 FA D2]
Msg 00149: ID=500, Len=8, Data=[1C F9 D2 7F 7D BF 3A 65]
Msg 00150: ID=500, Len=8, Data=[23 14 00 FF 00 3A 4F EF]
Msg 00151: ID=500, Len=8, Data=[2A B7 E7 47 9D 27 F7 DB]
Msg 00152: ID=500, Len=8, Data=[31 F3 A6 51 40 0F F3 A4]
Msg 00153: ID=500, Len=8, Data=[38 FE FB 7E 74 79 D2 7F]
Msg 00154: ID=500, Len=8, Data=[3F 7D BF 3A 8F 39 6D AA]
Msg 00155: ID=500, Len=8, Data=[46 0B 39 FE 15 E4 FF 00]
Msg 00156: ID=500, Len=8, Data=[4D 9F 7A B3 15 89 7E 66]
Msg 00157: ID=500, Len=8, Data=[54 25 47 F7 14 FF 00 33]
Msg 00158: ID=500, Len=8, Data=[5B FE 1F AD 00 42 B3 4A]
Msg 00159: ID=500, Len=8, Data=[62 EC 55 0B BB 0E A1 4F]
Msg 00160: ID=500, Len=8, Data=[69 4F AF A5 59 8E D6 46]
Msg 00161: ID=500, Len=8, Data=[70 E6 59 5B FD C4 62 07]
Msg 00162: ID=500, Len=8, Data=[77 E7 D7 F9 55 94 45 8D]
Msg 00163: ID=500, Len=8, Data=[7E 42 A2 85 51 D0 01 81]
Msg 00164: ID=500, Len=8, Data=[85 4B 40 08 88 B1 A8 54]
Msg 00165: ID=500, Len=8, Data=[8C 50 AA 3A 00 30 29 68]
Msg 00166: ID=500, Len=8, Data=[93 A2 80 0A 28 A2 80 0A]
Msg 00167: ID=500, Len=8, Data=[9A 28 A2 80 0A 64 D0 47]
Msg 00168: ID=500, Len=8, Data=[A1 71 19 49 63 49 50 FF]
Msg 00169: ID=500, Len=8, Data=[A8 00 0B A8 23 F2 34 FA]
Msg 00170: ID=500, Len=8, Data=[AF 28 03 25 3E E2 FD 29]
Msg 00171: ID=500, Len=8, Data=[B6 69 13 EE 2F D2 96 80]
Msg 00172: ID=500, Len=8, Data=[BD 0A 28 A2 80 0A 28 A2]
Msg 00173: ID=500, Len=8, Data=[C4 80 0A 28 A2 80 0A 28]
Msg 00174: ID=500, Len=8, Data=[CB A2 80 0A 28 A2 80 0A]
Msg 00175: ID=500, Len=8, Data=[D2 28 A2 80 0A 28 A2 80]
Msg 00176: ID=500, Len=8, Data=[D9 0A 28 A2 80 0A 28 A2]
Msg 00177: ID=500, Len=8, Data=[E0 80 0A 28 A2 80 0A 28]
Msg 00178: ID=500, Len=8, Data=[E7 A2 80 0A 28 A2 80 0A]
Msg 00179: ID=500, Len=8, Data=[EE 28 A2 00 00 00 00 00]
Msg 00180: ID=500, Len=8, Data=[F1 F0 81 E0 00 00 00 00]
Msg 00181: ID=500, Len=8, Data=[00 80 0A 28 A2 80 0A 28]
Msg 00182: ID=500, Len=8, Data=[07 A2 80 0A 28 A2 80 0A]
Msg 00183: ID=500, Len=8, Data=[0E 28 A2 80 0A 28 A2 80]
Msg 00184: ID=500, Len=8, Data=[15 0A 28 A2 80 0A 28 A2]
Msg 00185: ID=500, Len=8, Data=[1C 80 0A 28 A2 80 0A 28]
Msg 00186: ID=500, Len=8, Data=[23 A2 80 0A 28 A2 80 0A]
Msg 00187: ID=500, Len=8, Data=[2A 28 A2 80 0A 28 A2 80]
Msg 00188: ID=500, Len=8, Data=[31 0A 28 A2 80 0A 28 A2]
Msg 00189: ID=500, Len=8, Data=[38 80 0A 28 A2 80 0A 28]
Msg 00190: ID=500, Len=8, Data=[3F A2 80 0A 28 A2 80 0A]
Msg 00191: ID=500, Len=8, Data=[46 28 A2 80 0A 28 A2 80]
Msg 00192: ID=500, Len=8, Data=[4D 0A 28 A2 80 0A 28 A2]
Msg 00193: ID=500, Len=8, Data=[54 80 0A 6C B2 AC 28 59]
Msg 00194: ID=500, Len=8, Data=[5B 8E 07 F3 A6 4F 70 90]
Msg 00195: ID=500, Len=8, Data=[62 0E 4E 5B 1C 2F AD 66]
Msg 00196: ID=500, Len=8, Data=[69 CB 33 CC D9 63 9F 41]
Msg 00197: ID=500, Len=8, Data=[70 E9 40 0F B9 B9 33 B7]
Msg 00198: ID=500, Len=8, Data=[77 A2 0E 82 A0 A2 8A 00]
Msg 00199: ID=500, Len=8, Data=[7E 28 A7 A4 2D 27 41 C7]
Msg 00200: ID=500, Len=8, Data=[85 A9 AB 09 6E A9 D7 E6]
Msg 00201: ID=500, Len=8, Data=[8C 3E F4 01 5D 22 67 E8]
Msg 00202: ID=500, Len=8, Data=[93 38 F5 A7 1D B1 06 5C]
Msg 00203: ID=500, Len=8, Data=[9A 07 62 31 93 9F 97 91]
Msg 00204: ID=500, Len=8, Data=[A1 D3 DF B7 3E B4 F9 AE]
Msg 00205: ID=500, Len=8, Data=[A8 39 C2 1E 3B 9A AF 40]
Msg 00206: ID=500, Len=8, Data=[AF 05 14 51 40 05 14 51]
Msg 00207: ID=500, Len=8, Data=[B6 40 0E 45 2E C1 47 52]
Msg 00208: ID=500, Len=8, Data=[BD 71 5A E8 82 34 0A 3A]
Msg 00209: ID=500, Len=8, Data=[C4 01 8A A3 A7 C5 BA 42]
Msg 00210: ID=500, Len=8, Data=[CB E4 70 A3 03 EB 5A 14]
Msg 00211: ID=500, Len=8, Data=[D2 00 51 49 9C B6 D5 05]
Msg 00212: ID=500, Len=8, Data=[D9 9C FF 00 0A F2 7F CF]
Msg 00213: ID=500, Len=8, Data=[E0 BD 58 8A C5 DF 99 5B]
Msg 00214: ID=500, Len=8, Data=[E7 60 FE E2 F5 FC 4F F8]
Msg 00215: ID=500, Len=8, Data=[EE 7E 74 00 00 00 00 00]
Msg 00216: ID=500, Len=8, Data=[F1 F0 82 58 00 00 00 00]
